26	0
28	1
36	1
24	2
27	2
32	2
28	5
33	5
27	6
23	11
25	11
17	12
31	13
25	15
24	16
16	17
13	18
25	18
10	19
34	19
12	20
28	20
15	21
20	22
8	24
13	24
20	24
25	24
38	24
35	25
36	25
25	26
32	26
10	27
14	27
32	27
12	28
14	28
11	30
23	30
28	30
16	31
35	31
26	32
31	32
33	32
34	32
26	33
30	33
81	52
90	54
90	56
78	57
80	59
86	59
90	59
71	60
94	60
94	61
24	63
39	63
41	63
33	64
95	64
67	65
71	65
79	65
81	65
92	65
96	65
97	65
22	66
45	66
90	66
92	66
20	67
78	67
82	67
86	67
28	68
75	68
79	68
19	69
24	69
76	69
90	69
22	70
27	70
37	70
39	70
47	70
91	70
33	71
35	71
69	71
90	71
93	71
24	72
70	72
82	72
88	72
42	73
45	73
28	74
30	74
34	74
38	74
22	75
27	75
40	75
41	75
74	75
27	76
44	76
76	76
87	77
19	78
43	78
25	79
46	79
31	81
35	82
29	85
35	86
33	87
32	88
114	97
114	98
126	98
127	99
0	100
114	100
127	100
123	101
110	102
117	102
111	103
114	103
3	104
116	104
123	104
0	105
5	105
108	105
4	106
127	106
20	108
35	108
117	108
2	109
5	109
30	109
122	109
8	110
110	110
25	111
127	111
6	112
19	112
20	112
31	112
127	112
4	113
116	113
2	114
14	115
18	115
108	115
14	116
24	116
31	116
18	117
14	119
22	119
27	119
113	119
3	120
15	120
18	120
43	120
119	120
123	120
17	121
28	121
38	121
42	121
31	122
29	123
41	123
20	124
42	124
119	124
39	125
34	126
